Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-2.3054917368973E-06,-0.0176601899267237,0.031113668238176,0,0,0,0.193749012982645,0.000137687906786269,-4.28474999585736E-09,2.103221173073E-08,0.00014498981682198,-2.26441221181679E-05,0.000168676019768194,0,0,0,0,0,0,package://so_arm100/meshes/Base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://so_arm100/meshes/Base.STL,,Base_08q-1;WaveShare_Mounting_Plate_01d-2;STS3215_03a-12;Passive_Horn_01-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,-9.1232E-05,0.04538,0.031241,0,0,0,0.11865,5.9025E-05,4.908E-07,-5.9045E-08,3.2118E-05,-4.5803E-06,5.859E-05,0,0,0,0,0,0,package://so_arm100/meshes/shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://so_arm100/meshes/shoulder_link.STL,,Rotation_Pitch_08i-2;SO_ARM100_08k-7;STS3215_03a-11,1,基准轴1,shoulder_pan_joint,revolute,0,-0.0452,0.0305,1.5708,0,0,Base,0,1,0,100,10,-1.57,1.57,,,,,,,,
upper_arm_link,0.0156827947709601,0.0701802155153415,0.00310545123916983,0,0,0,0.162409284912556,0.000167153147342833,1.03902639480366E-06,-1.20158973046588E-08,7.01946994486248E-05,2.11884860629144E-06,0.000213280242264327,0,0,0,0,0,0,package://so_arm100/meshes/upper_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://so_arm100/meshes/upper_arm_link.STL,,SO_ARM100_08k-8;STS3215_03a-10,2,基准轴2,shoulder_lift_joint,revolute,-0.0158,0.0885,0.0306,0,0,0,shoulder_link,-1,0,0,100,10,-1.57,1.57,,,,,,,,
forearm_link,-0.0193960375787366,0.00137796346147245,0.0768006759493438,0,0,0,0.147967771056037,0.000105333994797778,1.73059614958688E-07,-1.17203066998378E-05,0.000138766651583021,1.77429933964553E-06,5.08741632405579E-05,0,0,0,0,0,0,package://so_arm100/meshes/forearm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://so_arm100/meshes/forearm_link.STL,,SO_ARM100_08k-9;STS3215_03a-13,3,基准轴3,elbow_joint,revolute,0.0317,0.11257,0.028,0,0,0,upper_arm_link,-1,0,0,100,10,-1.57,1.57,,,,,,,,
wrist_1_link,-0.0246265312098786,-2.34622216576663E-05,0.0352278998817509,0,0,0,0.0661320665571636,1.95717492021957E-05,5.20090676290333E-09,6.62714409160709E-07,3.45401433304967E-05,-4.09549066423119E-08,2.38028416973655E-05,0,0,0,0,0,0,package://so_arm100/meshes/wrist_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://so_arm100/meshes/wrist_1_link.STL,,Wrist_Roll_Pitch_08i-2;STS3215_03a-15,4,基准轴4,wrist_pitch_joint,revolute,0,0.0052,0.1349,0,0,0,forearm_link,-1,0,0,100,10,-1.57,1.57,,,,,,,,
wrist_2_link,0.000450839256531511,-0.00553729747557533,0.0295127613946878,0,0,0,0.0931646505689508,5.02748039583909E-05,-5.95959163846009E-07,1.40805138073889E-07,4.34101625280102E-05,7.09851524639004E-06,3.04999659322705E-05,0,0,0,0,0,0,package://so_arm100/meshes/wrist_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://so_arm100/meshes/wrist_2_link.STL,,Wrist_Roll_08c-1;STS3215_03a-14,5,基准轴5,wrist_roll_joint,revolute,-0.0161,0,0.0586,0,0,0,wrist_1_link,0,0,1,100,10,-1.57,1.57,,,,,,,,
jaw_link,0.015016,0.013795,0.027133,0,0,0,0.020214,8.9646E-06,-8.7106E-08,-1.719E-07,9.5035E-06,-3.2096E-06,4.5648E-06,0,0,0,0,0,0,package://so_arm100/meshes/jaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://so_arm100/meshes/jaw_link.STL,,Moving_Jaw_08d-1,6,基准轴6,"jaw_joint",revolute,-0.0155,0.0202,0.0259,0,0,0,wrist_2_link,1,0,0,100,10,-1.57,1.57,,,,,,,,
